RECEIPTS APRIL 2024,,,,,,,,,,,,,,,,
DATE,WHOUSE,GRN #,INVOICE #,ITEM CODE,ITEM  DESCRIPTION,UOM, QUANTITY ,LOT NUMBER,MFG. DATE,EXPIRY DATE,MANUFACTURER,UNIT PRICE, TOTAL PRICE ,SUPPLIER,CONTRACT/LPO #,COMMENT
4/18/2024,NPW,G13195,LLW/03154,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH," 11,616 ",2B40214,02-2024,01-2027,ACULIFE," 2,950.00 "," 34,267,200.00 ",Pharmavet,CMST001846,POSTED
4/18/2024,NPW,G13195,LLW/03154,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH, 204 ,2B40219,02-2024,01-2027,ACULIFE," 2,950.00 "," 601,800.00 ",Pharmavet,CMST001846,POSTED
4/19/2024,NPW,G13210,OM/048/24,HH080700,"Glove surgeons,size 7.5, sterile Pair",PAIR," 237,500 ",112723,11-2023,10-2028,ONE MEDIC, 0.30 ," 71,250.00 ",ONE MEDIC LLC,CMST001922,POSTED
4/19/2024,NPW,G13211,1760,EE017700,"Emulsifying Ointment,500g,Each",EACH, 852 ,0840043,10-2023,09-2026,Pharmanova, 6.25 ," 5,325.00 ",Pharmanova,CMST001699,POSTED
4/22/2024,NPW,G13220,291,HH077700,"Glove disposable powdered latex ,medium,100",100," 9,790 ",5919,01-2024,01-2029,NEOGLOVES, 4.50 ," 44,055.00 ",Glad Investments,CMST001904,POSTED
4/22/2024,NPW,G13220,291,HH077700,"Glove disposable powdered latex ,medium,100",100, 840 ,7087,02-2024,02-2029,NEOGLOVES, 4.50 ," 3,780.00 ",Glad Investments,CMST001904,POSTED
4/22/2024,NPW,G13220,291,HH077700,"Glove disposable powdered latex ,medium,100",100," 11,550 ",6710,02-2024,02-2029,NEOGLOVES, 4.50 ," 51,975.00 ",Glad Investments,CMST001904,POSTED
4/22/2024,NPW,G13221,292,FF007800,"Cotton wool,500g,EACH",EACH, 671 ,AS2023129,11-2023,10-2028,NEOSAFE," 3,400.00 "," 2,281,400.00 ",GLAD INVESTMENTS,CMST001851,POSTED
4/22/2024,NPW,G13222,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 1 ,2404092,04-2024,03-2027,CROWN," 11,736.00 "," 11,736.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/22/2024,NPW,G13222,INV2324-925,AA007200,"Aspirin,300mg,tablet,1000",1000, 8 ,2405027,03-2024,02-2027,CROWN," 6,426.00 "," 51,408.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/22/2024,NPW,G13229,PRHQ00008663/ EXP003/24,AA016200,"Cloxacillin,250,mg,capsule,1000",1000, 673 ,2312071,12-2023,11-2026,DAWA, 19.50 ," 13,123.50 ",DAWA Ltd,CMST001755,POSTED
4/22/2024,NPW,G13230,PRHQ00008663/ EXP004/24,AA016200,"Cloxacillin,250,mg,capsule,1000",1000, 589 ,2312071,12-2023,11-2026,DAWA, 19.50 ," 11,485.50 ",DAWA Ltd,CMST001768,POSTED
4/23/2024,NPW,G13236,LLW/03236,BB077100,"Water for injections,10ml,Each",EACH," 129,200 ",2504299,02-2024,01-2029,ACULIFE, 150.00 ," 19,380,000.00 ",Pharmavet,CMST001846,POSTED
4/23/2024,NPW,G13237,LLW/03236,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH," 9,108 ",2B40224,02-2024,01-2027,ACULIFE," 2,950.00 "," 26,868,600.00 ",Pharmavet,CMST001846,POSTED
4/23/2024,NPW,G13237,LLW/03236,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH," 11,412 ",2B40219,02-2024,01-2027,ACULIFE," 2,950.00 "," 33,665,400.00 ",Pharmavet,CMST001846,POSTED
4/23/2024,NPW,G13238,LLW/03189,AA022810,"Enalapril maleate 5 mg, Tab",100, 500 ,D40082,02-2024,01-2027,Medley," 2,950.00 "," 1,475,000.00 ",Pharmavet,CMST001785,POSTED
4/23/2024,NPW,G13239,767,HH077700,"Glove disposable powdered latex ,medium,100",100," 15,000 ",7407,02-2024,02-2029,ONEGLOVES, 4.50 ," 67,500.00 ",Heritage Heights Limited,CMST001903,POSTED
4/23/2024,NPW,G13241,INV2324-955,EE033900,"Oral rehydration salt, 20.5g satchet",EACH," 26,400 ",2431013,03-2024,02-2026,CROWN, 153.00 ," 4,039,200.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/23/2024,NPW,G13241,INV2324-955,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404096,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/23/2024,NPW,G13241,INV2324-955,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404097,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/23/2024,NPW,G13241,INV2324-955,AA049500,"Paracetamol,500mg,tablet,1000",1000, 896 ,2404095,04-2024,03-2027,CROWN," 11,730.00 "," 10,510,080.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
4/23/2024,NPW,G13241,INV2324-955,AA021000,"Diclofenac sodium, 50mg,, tablet,",100," 4,450 ",2408004,03-2024,02-2027,CROWN," 1,003.00 "," 4,463,350.00 ",Crown Pharmaceuticals & Research Laboratories Limited,CMST001949,POSTED
