No.,Description,Base Unit of Measure,Unit Cost,Unit Price
BB038100,"Haloperidol decanoate,oily,50mg/ml,1ml,Each",EACH,1913.2374,2333.21634
BB038400,"Heparin sodium,5,000,IU/ml,5ml,Each",EACH,2253.11315,2747.69896
BB038700,"Human Plasma Albumin 20% (Albusol),50mls",EACH,0,0
BB039000,"Human Plasma Albumin 20% (Albusol)50mls,Each",EACH,0,0
BB039300,"Hyaluronidase 1500IU/1ml, 1ml",EACH,0,0
BB039600,"Hydralazine hydrochloride,20mg/ml,1ml,Each",EACH,900,1097.56098
BB039900,Hydrocortisone 100mg 2ml vial,EACH,589.7986,719.26659
BB040200,"Hydrocortisone,100mg,Each",EACH,380,463.41463
BB040500,"Hydrocortisone acetate,25mg/ml,5ml,Each",EACH,579.8205,707.09817
BB040550,"Hydrocortisone Sodium Succinate 50mg/ml, 2ml",EACH,0,0
BB040800,Hydrocortisone sodium succinate 100mg,EACH,232.98013,284.12211
BB040820,"Hydroxyethyl starch,500ml,EACH",EACH,0,0
BB041100,"Ifosfamide,1g10ml,Each",EACH,7694.98025,9384.12226
BB041400,"Ifosfamide,1gm,with Mesna,600mg,Each",EACH,10631.21623,12964.89784
BB041700,"Ifosfamide 2g  with Mesna,1200mg.,Each",EACH,23148.35091,28229.69623
BB042000,"Ifosfamide 3g, 20ml vial",EACH,0,0
BB042100,Ifosfamide 1g with mesna 1200mg inject,EACH,0,0
BB042300,Imipenem 500mg Injection,EACH,5156.25,6288.10976
BB042600,Insulin Biphasic Intermediate+short acting Insulin,EACH,2324.7035,2835.00427
BB042900,"Insulin soluble 100,IU/ml,10ml,Each",EACH,3185.3832,3884.61366
BB043200,"Insulin zinc suspension (lente) 100 IU/ml, 10ml",EACH,6303.6,7687.31707
BB043500,"Irinotecan Hydrochloride,100mg/5ml,Each",EACH,0,0
BB043800,"Irinotecan Hydrochloride,40mg/2ml,vial,Each",EACH,6570.5,8012.80488
BB044100,"Iron Sucrose,20mg/ml(Venofor,injection),Each",EACH,2521.99,3075.59756
BB044400,"Ketamine hydrochloride,50mg/ml,10ml,Each",EACH,2561.74,3124.07317
BB044700,"Labetalol,5mg/ml,IV,Each",EACH,11616.2617,14166.1728
BB044750,"Labetalol 5mg/ml, 4ml",EACH,0,0
BB045000,L-Asparaginase for injection 5000 K.U./vial,EACH,0,0
BB045300,"L-Asparaginase for Injection10000,K.U./Vial,Each",EACH,20017.14396,24411.15117
BB045600,"Leucovorin Calcium,15mg,PFR,Each",EACH,1227.6,1497.07317
BB045900,"Leucovorin Calcium,50mg,PFR,Each",EACH,2422.73273,2954.55211
BB046200,Leuprolide Acetate for Injection 3.75mg,EACH,0,0
BB046500,Leuprolide Acetate Injection 3.75mg prefil syring,EACH,0,0
BB046800,"Lignocaine hydrochloride,1%,25ml,Each",EACH,260.83162,318.08734
BB046900,"Lignocaine hydrochloride 2%, 30ml",EACH,558,680.4878
BB047100,"Lignocaine hydrochloride,2%,25ml,Each",EACH,1250,1524.39024
BB047400,"Lignocaine hydrochloride 5%+glucose 7.5%, 2ml",EACH,0,0
BB047700,Lignocaine Hydrochloride Injection +Adrenaline,EACH,0,0
BB047720,"Lignocaine HCL21.3mg, Adrenaline 0.0125mg",EACH,0,0
BB048000,"Liposomal Doxorubicin Hydro CL conc, 10mg",EACH,0,0
BB048300,"Liposomal Doxorubicin Hydro CL Conc, 20mg",EACH,44312,54039.02439
BB048600,"Lorazepam 4mg/ml, 10ml",EACH,1422.88871,1735.23013
BB048700,"Lorazepam 1mg/ml, 10ml",EACH,0,0
BB048900,"Magnesium Sulphate 50%,2ml,ampoule,Each",EACH,1350,1646.34146
BB048950,"Magnesium sulphate 20%, 2ml ,Ampoule",EACH,0,0
BB049200,"Mannitol,20%,250ml,Each",EACH,4577.88576,5582.78751
BB049500,Medroxyprogesterone acetate injection 150mg/Ml,EACH,715.01208,871.96595
BB049800,"Melarsoprol (Mel B) 3.6%, 6ml",EACH,0,0
BB050100,Melphalan 50mg vial,EACH,0,0
BB050400,"Meropenem,500mg,Injection,Each",EACH,4050,4939.02439
BB050700,"Mesna 100mg/ml, 10 ml",EACH,0,0
BB051000,"Mesna,100mg/ml,2ml,Each",EACH,1548.25158,1888.11168
BB051300,"Mesna,100mg/ml,4ml,Each",EACH,0,0
BB051600,"Mesna,200mg/ml,Each",EACH,0,0
BB051900,"Methotrexate,50mg,vial,2ml,Each",EACH,0,0
BB052200,"Methotrexate 15mg/ml ,2ml, preservative",EACH,0,0
BB052500,"Methotrexate,100mg/ml,10ml,Each",EACH,13867.34437,16911.39557
BB052800,"Methotrexate 15mg/ml, (Preservative free) isotonic",EACH,1859.875,2268.14024
BB052801,Methotrexate 15mg/3ml (Preservative free) isotonic,EACH,0,0
BB053100,"Methotrexate,25mg/ml,2ml,Each",EACH,1691.21071,2062.45209
BB053400,"Methotrexate 25mg/ml, 2ml, without preservatives",EACH,0,0
BB053700,"Methotrexate,500mg/20ml,Each",EACH,7771.8705,9477.89085
BB054000,"Methylprednisolone acetate,40mg/ml,2ml,Each",EACH,2956.74685,3605.78884
BB054100,Methylprednisolone Sodium Succinate 40mg PFR,EACH,0,0
BB054300,"Methylprednisolone acetate,500mg,PFR,Each",EACH,5674,6919.5122
BB054600,"Metoclopramide hydrochloride,5mg/ml,2ml,Each",EACH,219.064,267.15122
BB054900,"Metronidazole,5mg/ml,100ml,Each",EACH,630,768.29268
BB054950,"Midazolam,1mg/ml,1ml,Each",EACH,4800,5853.65854
BB055200,"Mitomycin, 10mg, PFR",EACH,0,0
BB055500,"Mitomycin,2mg,PFR,Each",EACH,3339.45,4072.5
BB055800,Mitoxantrone 20mg Injection,EACH,0,0
BB056100,"Morphine sulphate,10mg/ml,1ml,Each",EACH,673.85243,821.77126
BB056101,"Morphine Sulphate,15mg/ml,1ml,Each",EACH,0,0
BB056400,"Mucaine gel, vials",EACH,0,0
BB056700,"Naloxone,0.02mg/ml2ml,Each",EACH,1021.22815,1245.40018
BB056800,Nalbuphine Hydrochloride 10mg/ml,EACH,0,0
BB057000,Neonatolyte intravenous fluid 200ml flexible bags,EACH,0,0
BB057100,Neupogen 30 MU (0.3 mg/ml) solution for injection,EACH,0,0
BB057300,"Neostigmine,2.5mg/ml,1ml,Each",EACH,1107.57769,1350.7045
BB057301,"Neostigmine,2.5mg/5ml,5ml,Each",EACH,3850,4695.12195
BB057350,Nimodipine 60mg Injection,EACH,0,0
BB057380,Nitroglycerine Injection (Iv),EACH,0,0
BB057400,Nitrocycin 50mg injection,EACH,0,0
BB057600,"Noradrenalin,1mg/ml,4ml,Each",EACH,2528.3297,3083.3289
BB057650,"Omeprazole 40 mg, powder for solution-infusion.",EACH,769.778,938.75366
BB057900,"Ondancetrone,8mg/2ml,Injection,Each",EACH,518.125,631.85976
BB058200,"Ondansetron,4mg/2ml,Each",EACH,298.3374,363.8261
BB058500,"Oxaliplatin,5mg/ml,20ml,Each",EACH,0,0
BB058800,"Oxaliplatin,100mg/50ml,Each",EACH,13468.03962,16424.43856
BB059100,"Oxaliplatin,50mg/10ml,Each",EACH,13468.03961,16424.43855
BB059101,"Oxaliplatin 5mg/ml Conc for Soln for Infn, 10ML",EACH,0,0
BB059400,"Oxytocin,10,IU/ml,1ml,Each",EACH,810,987.80488
BB059500,"Paracetamol Injection 10mg/ml, 100mL",EACH,0,0
BB059700,"Paclitaxel,6mg/ml,50ml,Each",EACH,0,0
BB060000,"Paclitaxel conc 6mg/ml, 16.67ml (100mg) inject",EACH,0,0
BB060300,"Paclitaxel conc 6mg/ml, 43.4ml (260mg) inject",EACH,0,0
BB060600,"Paclitaxel conc 6mg/ml, 50ml ( 300mg) inject",EACH,32046.36196,39080.92922
BB060900,"Paclitaxel conc 6mg/ml, 5ml (30mg) injection",EACH,0,0
BB061200,Pamidronate Disodium 60mg for IV infusion PFR,EACH,0,0
BB061500,Pamidronate Disodium-Intravenous Infus BP90mg,EACH,0,0
BB061800,"Pancuronium Chloride,2mg/ml,1ml,Each",EACH,607.95525,741.40884
BB061850,Pantoprazole 40mg powder- solution for inject,EACH,0,0
BB062100,"Paraldehyde,10ml,Each",EACH,6622.798,8076.58293
BB062400,Pemetrexed 500mg for Injection,EACH,0,0
BB062500,"Pentoprazole Sodium Injection, 40mg",EACH,0,0
BB062700,"Pethidine hydrochloride,50mg/1ml,2ml,Each",EACH,745.28004,908.8781
BB062800,"Pethidine hydrochloride 50mg/1ml, 1ml",EACH,0,0
BB062900,"Pethidine hydrochloride 100mg/2ml, 2ml",EACH,1242,1514.63415
BB063000,"Phenobarbitone sodium,200mg/ml,1ml,Each",EACH,720,0
BB063300,"Phenytoin soldium,50mg/ml,2ml,Each",EACH,876.79232,1069.25893
BB063350,"Phenytoin soldium,50mg/ml,5ml,Each",EACH,0,0
BB063600,"Phytomenadione,10mg/ml,1ml,(Vitamin,K),Each",EACH,218.24738,266.15534
BB063900,"Phytomenadione,2mg/ml,1ml,(Vitamin,K),Each",EACH,720,878.04878
BB064200,"Pilocarpine nitrate 0.5%,1ml",EACH,0,0
BB064500,"Piperacillin 2g+Tazabactam 0.25g/50ml,50ml,Each",EACH,5953.4,7260.2439
BB064800,"Piperacillin and azobactam,(3.375g,4.5g,vial),Each",EACH,3564.98415,4347.54165
BB065100,"Potasium Chloride,150mg/ml,10ml,Each",EACH,728.43511,888.3355
BB065400,"Potassium chloride,20%,10ml,Each",EACH,366.975,447.53049
BB065700,"Pralidoxime mesylate 200mg/ml, 5ml",EACH,0,0
BB066000,"Procaine benzylpenicillin,1g,PFR,Each",EACH,0,0
BB066300,"Procaine benzylpenicillin,3g,PFR,Each",EACH,0,0
BB066600,"Procyclidine HCl 5mg/ml, 2ml ampoule",EACH,0,0
BB066900,"Promethazine hydrochloride,25mg/ml,2ml,Each",EACH,102.61178,125.13632
BB067200,"Propofol,10mg/ml,10ml,Each",EACH,1238.39988,1510.24376
BB067500,"Quinine dihydrochloride,300mg/ml,2ml,Each",EACH,0,0
BB067800,"Ranitidine,50,mg,vial,Each",EACH,887.7,1082.56098
BB068100,"Rituximab 10mg/ml, 10ml",EACH,0,0
BB068400,"Rituximab,500mg,vial,Each",EACH,320089.845,390353.4695
BB068700,"Salbutamol sulphate,1mg/ml,5ml,Each",EACH,565.44,689.56098
BB068710,Romiplostim 250 mcg injection,EACH,0,0
